"device_id","device_type","usage_category","device_age_years","operating_hours","downtime_hours","last_service_months_ago","unexpected_failure","log_date"
"DEV-1001","MRI","Standard-Use",6.5,933,18.2,19,0,2025-03-30
"DEV-1002","MRI","Standard-Use",4.1,666,8.9,3,1,2025-12-07
"DEV-1003","MRI","Standard-Use",9.5,2304,40.5,1,1,2025-01-30
"DEV-1004","MRI","Standard-Use",4.3,552,12,5,0,2025-05-14
"DEV-1005","CT Scanner","High-Use",6.7,3056,76.6,12,1,2025-05-22
"DEV-1006","Ultrasound","High-Use",6.3,4752,17.3,6,1,2025-09-23
"DEV-1007","CT Scanner","Standard-Use",9.5,2045,14.1,6,1,2025-11-07
"DEV-1008","CT Scanner","Standard-Use",2.8,1600,45.5,14,1,2025-03-05
"DEV-1009","MRI","Standard-Use",5.9,2938,30.3,20,1,2025-06-29
"DEV-1010","Ultrasound","Standard-Use",6.8,1030,14.4,13,0,2025-01-09
"DEV-1011","Ventilator","Standard-Use",6.2,2187,27.8,19,0,2025-02-26
"DEV-1012","Ultrasound","High-Use",6.8,1974,48.1,23,0,2025-07-16
"DEV-1013","Ventilator","Standard-Use",8.5,4762,40.5,2,1,2025-06-12
"DEV-1014","Ultrasound","Standard-Use",4.9,4598,12.1,17,1,2025-11-09
"DEV-1015","MRI","Standard-Use",10.2,3931,23.6,15,1,2025-03-05
"DEV-1016","MRI","High-Use",11.1,3911,21.9,3,1,2025-01-01
"DEV-1017","CT Scanner","Standard-Use",2.2,4993,44.6,3,1,2025-04-15
"DEV-1018","Ultrasound","High-Use",3.3,3112,38.3,17,1,2025-12-12
"DEV-1019","CT Scanner","High-Use",6.4,1460,12.5,4,0,2025-06-29
"DEV-1020","CT Scanner","High-Use",4.6,1101,40.5,1,1,2025-06-05
"DEV-1021","Ventilator","Standard-Use",6.2,4065,36.9,8,1,2025-06-16
"DEV-1022","Ventilator","Standard-Use",7.4,4919,36.7,18,1,2025-09-18
"DEV-1023","MRI","Standard-Use",3.5,4919,56.9,17,1,2025-02-22
"DEV-1024","MRI","Standard-Use",9.1,1064,12,22,1,2025-07-23
"DEV-1025","Ventilator","Standard-Use",2.7,3282,20,21,0,2025-11-02
"DEV-1026","Ultrasound","High-Use",8.7,4362,8.8,12,1,2025-11-04
"DEV-1027","MRI","Standard-Use",3.9,1127,16.1,2,1,2025-07-28
"DEV-1028","Ventilator","High-Use",5.7,2150,13.2,18,1,2025-07-12
"DEV-1029","MRI","High-Use",8.9,1207,30.5,23,1,2025-11-19
"DEV-1030","MRI","High-Use",6.2,2515,29.1,20,0,2025-07-19
"DEV-1031","Ultrasound","High-Use",4.7,2686,23.8,7,1,2025-06-21
"DEV-1032","CT Scanner","Standard-Use",3.6,4776,12.7,6,1,2025-09-23
"DEV-1033","Ultrasound","Standard-Use",3.4,4571,40.4,2,0,2025-05-20
"DEV-1034","Ultrasound","Standard-Use",3.7,4731,27.3,3,0,2025-11-15
"DEV-1035","Ventilator","High-Use",7.2,3981,31.8,11,1,2025-12-08
"DEV-1036","CT Scanner","Standard-Use",8.8,915,40.7,6,0,2025-04-26
"DEV-1037","MRI","Standard-Use",2.2,573,21.7,9,0,2025-10-30
"DEV-1038","CT Scanner","Standard-Use",6.7,2001,51.3,3,1,2025-03-23
"DEV-1039","Ultrasound","High-Use",10.4,1588,48.5,20,1,2025-08-19
"DEV-1040","CT Scanner","Standard-Use",8.9,4064,21.5,23,1,2025-08-24
"DEV-1041","Ventilator","Standard-Use",4.5,2734,12.7,23,0,2025-03-04
"DEV-1042","Ventilator","Standard-Use",2.3,2812,15.2,2,0,2025-02-20
"DEV-1043","CT Scanner","High-Use",7.3,826,37.1,10,0,2025-03-24
"DEV-1044","CT Scanner","Standard-Use",10.1,2053,12.8,12,1,2025-10-05
"DEV-1045","Ultrasound","Standard-Use",6.7,3903,56,20,1,2025-06-23
"DEV-1046","Ultrasound","Standard-Use",8.6,2233,37.8,12,1,2025-04-04
"DEV-1047","Ultrasound","High-Use",6.5,531,44.3,10,0,2025-11-28
"DEV-1048","CT Scanner","Standard-Use",4.9,3733,19.1,20,1,2025-09-22
"DEV-1049","CT Scanner","High-Use",11.6,3006,46.6,4,1,2025-12-20
"DEV-1050","MRI","High-Use",11.1,815,26.5,17,1,2025-05-29
"DEV-1051","Ultrasound","Standard-Use",3.3,2065,3.3,15,0,2025-02-23
"DEV-1052","MRI","Standard-Use",11.5,2359,23.2,23,1,2025-01-25
"DEV-1053","Ultrasound","Standard-Use",10.6,1902,12.6,12,1,2025-10-09
"DEV-1054","CT Scanner","Standard-Use",8.7,3819,19.4,20,0,2025-08-29
"DEV-1055","Ultrasound","High-Use",6.6,2248,14.6,23,0,2025-09-14
"DEV-1056","CT Scanner","Standard-Use",6.3,3287,8.8,12,0,2025-07-26
"DEV-1057","Ventilator","High-Use",3.2,3306,13.4,2,0,2025-09-18
"DEV-1058","Ultrasound","High-Use",2.1,4111,5.6,21,0,2025-10-20
"DEV-1059","Ventilator","Standard-Use",6.2,3443,9.6,6,1,2025-07-24
"DEV-1060","MRI","Standard-Use",4.4,3558,4.7,3,0,2025-05-13
"DEV-1061","MRI","Standard-Use",9.5,2348,19.6,12,1,2025-10-29
"DEV-1062","CT Scanner","High-Use",10.9,3485,49.9,19,1,2025-04-06
"DEV-1063","CT Scanner","Standard-Use",4.7,622,14.6,17,1,2025-03-01
"DEV-1064","CT Scanner","High-Use",10.1,4172,19.1,16,1,2025-03-31
"DEV-1065","CT Scanner","High-Use",3.4,838,16.4,14,0,2025-06-03
"DEV-1066","CT Scanner","Standard-Use",9.4,4554,78.3,10,1,2025-11-10
"DEV-1067","Ultrasound","High-Use",7.2,819,48.2,8,0,2025-08-05
"DEV-1068","Ventilator","High-Use",5.7,1360,9.4,6,0,2025-01-29
"DEV-1069","CT Scanner","Standard-Use",10.2,3996,10.1,15,1,2025-12-27
"DEV-1070","MRI","Standard-Use",4.2,1414,21.2,1,0,2025-08-30
"DEV-1071","CT Scanner","Standard-Use",6.2,2317,70.6,7,1,2025-02-08
"DEV-1072","Ventilator","Standard-Use",9.6,2508,21.2,13,1,2025-01-24
"DEV-1073","CT Scanner","High-Use",1.9,3228,12.3,5,1,2025-03-17
"DEV-1074","CT Scanner","Standard-Use",5.3,3094,13.6,17,0,2025-02-02
"DEV-1075","CT Scanner","High-Use",2.1,768,35.6,17,1,2025-04-15
"DEV-1076","Ultrasound","High-Use",2.5,1322,17.8,19,1,2025-03-04
"DEV-1077","MRI","Standard-Use",3.4,1833,20.5,6,0,2025-03-24
"DEV-1078","MRI","Standard-Use",4,2192,21.4,6,0,2025-08-30
"DEV-1079","MRI","Standard-Use",4.3,3709,8.9,19,0,2025-02-05
"DEV-1080","Ventilator","High-Use",5.1,1063,14.4,10,1,2025-01-24
"DEV-1081","Ultrasound","Standard-Use",6.4,2432,41.3,15,0,2025-02-13
"DEV-1082","MRI","Standard-Use",10.7,637,31.6,17,1,2025-06-28
"DEV-1083","CT Scanner","Standard-Use",9.2,2544,65.3,12,1,2025-12-27
"DEV-1084","MRI","Standard-Use",11.5,4074,14.9,2,1,2025-12-30
"DEV-1085","MRI","Standard-Use",4.7,2621,57.5,22,1,2025-01-27
"DEV-1086","Ultrasound","High-Use",10.1,1564,16.4,2,1,2025-01-10
"DEV-1087","Ultrasound","Standard-Use",2.5,4492,49.4,2,0,2025-06-04
"DEV-1088","MRI","High-Use",2.4,1067,47.4,4,0,2025-02-01
"DEV-1089","Ventilator","Standard-Use",9,1712,25.8,8,1,2025-01-29
"DEV-1090","Ventilator","Standard-Use",7,4471,17.7,5,1,2025-07-29
"DEV-1091","MRI","High-Use",7.7,3877,11.5,16,1,2025-08-03
"DEV-1092","Ultrasound","Standard-Use",2.4,940,11.2,19,0,2025-02-22
"DEV-1093","MRI","High-Use",10.6,4170,22.4,2,1,2025-04-01
"DEV-1094","Ultrasound","Standard-Use",10.3,4363,28.9,5,1,2025-01-07
"DEV-1095","Ultrasound","High-Use",1.5,1027,11.2,19,0,2025-07-21
"DEV-1096","CT Scanner","Standard-Use",8.8,1118,38.2,10,1,2025-05-03
"DEV-1097","MRI","High-Use",6.9,2967,20.7,5,1,2025-11-19
"DEV-1098","Ultrasound","High-Use",11.4,766,20.7,13,1,2025-02-15
"DEV-1099","CT Scanner","Standard-Use",11,2730,22.7,3,1,2025-11-25
"DEV-1100","CT Scanner","Standard-Use",6,533,8.8,16,1,2025-06-26
"DEV-1101","CT Scanner","Standard-Use",9.4,4317,23.3,12,1,2025-09-25
"DEV-1102","Ultrasound","Standard-Use",6.6,782,25.5,4,0,2025-01-08
"DEV-1103","MRI","High-Use",3.2,4189,64.1,4,0,2025-03-03
"DEV-1104","CT Scanner","Standard-Use",8.9,2927,26.2,4,1,2025-01-09
"DEV-1105","MRI","High-Use",9.4,2746,9.2,17,1,2025-01-07
"DEV-1106","CT Scanner","Standard-Use",8.8,600,17.7,1,0,2025-07-11
"DEV-1107","Ultrasound","High-Use",3.1,2993,35.1,18,1,2025-01-13
"DEV-1108","Ventilator","Standard-Use",4.3,3740,7.2,4,1,2025-08-05
"DEV-1109","Ultrasound","Standard-Use",4.6,1561,89.8,24,1,2025-03-23
